200,2,0.6,0.02,1541,1541.0
200,2,0.6,0.06,1392,1392.0
200,2,0.6,0.1,1356,1356.0
200,2,0.6,0.14,1391,1391.0
200,2,0.7,0.02,1372,1372.0
200,2,0.7,0.06,1443,1443.0
200,2,0.7,0.1,1246,1246.0
200,2,0.7,0.14,1308,1308.0
200,2,0.8,0.02,1508,1508.0
200,2,0.8,0.06,1278,1278.0
200,2,0.8,0.1,1322,1322.0
200,2,0.8,0.14,1295,1295.0
200,2,0.9,0.02,1492,1492.0
200,2,0.9,0.06,1343,1343.0
200,2,0.9,0.1,1361,1361.0
200,2,0.9,0.14,1341,1341.0
200,3,0.6,0.02,1516,1516.0
200,3,0.6,0.06,1502,1502.0
200,3,0.6,0.1,1477,1477.0
200,3,0.6,0.14,1313,1313.0
200,3,0.7,0.02,1569,1569.0
200,3,0.7,0.06,1297,1297.0
200,3,0.7,0.1,1369,1369.0
200,3,0.7,0.14,1381,1381.0
200,3,0.8,0.02,1537,1537.0
200,3,0.8,0.06,1332,1332.0
200,3,0.8,0.1,1349,1349.0
200,3,0.8,0.14,1210,1210.0
200,3,0.9,0.02,1526,1526.0
200,3,0.9,0.06,1487,1487.0
200,3,0.9,0.1,1373,1373.0
200,3,0.9,0.14,1418,1418.0
200,4,0.6,0.02,1532,1532.0
200,4,0.6,0.06,1301,1301.0
200,4,0.6,0.1,1332,1332.0
200,4,0.6,0.14,1454,1454.0
200,4,0.7,0.02,1412,1412.0
200,4,0.7,0.06,1391,1391.0
200,4,0.7,0.1,1196,1196.0
200,4,0.7,0.14,1316,1316.0
200,4,0.8,0.02,1451,1451.0
200,4,0.8,0.06,1285,1285.0
200,4,0.8,0.1,1230,1230.0
200,4,0.8,0.14,1299,1299.0
200,4,0.9,0.02,1495,1495.0
200,4,0.9,0.06,1280,1280.0
200,4,0.9,0.1,1302,1302.0
200,4,0.9,0.14,1428,1428.0
200,5,0.6,0.02,1386,1386.0
200,5,0.6,0.06,1419,1419.0
